datetime,open,high,low,close,volume
2025-05-05 00:00:00,65000.00,65000.30,64497.46,65000.00,9376
2025-05-05 01:00:00,65000.00,65012.31,64561.28,64943.32,15531
2025-05-05 02:00:00,64943.32,65050.18,64772.75,64968.90,6305
2025-05-05 03:00:00,64968.90,66464.23,64789.65,65824.35,5192
2025-05-05 04:00:00,65824.35,65891.13,65778.97,65794.17,19073
2025-05-05 05:00:00,65794.17,65963.81,65262.18,65451.45,14010
2025-05-05 06:00:00,65451.45,65728.16,65347.56,65681.78,5883
2025-05-05 07:00:00,65681.78,65890.49,65565.38,65864.80,8743
2025-05-05 08:00:00,65864.80,66422.88,65848.75,66224.90,4514
2025-05-05 09:00:00,66224.90,66334.80,66009.96,66235.48,11264
2025-05-05 10:00:00,66235.48,66870.42,65957.98,66864.65,5272
2025-05-05 11:00:00,66864.65,67228.65,66660.72,67207.71,9197
2025-05-05 12:00:00,67207.71,68310.67,67162.07,68219.45,12176
2025-05-05 13:00:00,68219.45,68642.11,68178.83,68558.80,2132
2025-05-05 14:00:00,68558.80,68973.95,68536.51,68792.43,17384
2025-05-05 15:00:00,68792.43,69441.08,68768.42,69433.05,17919
2025-05-05 16:00:00,69433.05,69905.48,69362.52,69888.68,1239
2025-05-05 17:00:00,69888.68,70257.89,69364.97,69764.71,5533
2025-05-05 18:00:00,69764.71,70202.43,69483.90,70198.67,5753
2025-05-05 19:00:00,70198.67,70367.07,69958.66,70109.27,1488
2025-05-05 20:00:00,70109.27,70744.70,70081.92,70695.36,15694
2025-05-05 21:00:00,70695.36,71025.64,70476.67,70637.92,8862
2025-05-05 22:00:00,70637.92,71316.50,70622.13,70916.80,11174
2025-05-05 23:00:00,70916.80,71319.13,70737.90,70785.33,4399
2025-05-06 00:00:00,70785.33,71379.39,70741.51,71055.52,6111
2025-05-06 01:00:00,71055.52,71915.70,70838.03,71708.25,18170
2025-05-06 02:00:00,71708.25,72423.20,71665.89,72282.11,3738
2025-05-06 03:00:00,72282.11,72364.51,72130.96,72199.65,15575
2025-05-06 04:00:00,72199.65,72511.54,71377.05,71861.69,4203
2025-05-06 05:00:00,71861.69,72922.69,71853.74,72272.77,6593
2025-05-06 06:00:00,72272.77,72470.70,71851.09,72173.62,4611
2025-05-06 07:00:00,72173.62,72311.77,71967.04,72043.40,9904
2025-05-06 08:00:00,72043.40,72589.04,71981.02,72448.45,11198
2025-05-06 09:00:00,72448.45,72744.97,72143.84,72149.34,16544
2025-05-06 10:00:00,72149.34,72738.98,71954.59,72597.77,16510
2025-05-06 11:00:00,72597.77,73455.44,72266.28,73150.16,4827
2025-05-06 12:00:00,73150.16,73438.99,72750.05,73313.37,17563
2025-05-06 13:00:00,73313.37,73630.56,72725.92,73130.87,16285
2025-05-06 14:00:00,73130.87,73235.71,72958.91,73203.55,8555
2025-05-06 15:00:00,73203.55,74091.45,73189.58,73919.65,11787
2025-05-06 16:00:00,73919.65,74587.09,73590.72,74146.89,7096
2025-05-06 17:00:00,74146.89,74918.95,74117.65,74774.95,19679
2025-05-06 18:00:00,74774.95,75252.88,74671.44,74953.30,1409
2025-05-06 19:00:00,74953.30,75189.52,74943.10,75160.22,18671
2025-05-06 20:00:00,75160.22,75665.99,74861.95,75392.78,11073
2025-05-06 21:00:00,75392.78,75745.83,75246.54,75602.38,13633
2025-05-06 22:00:00,75602.38,76504.66,75442.31,75880.54,2922
2025-05-06 23:00:00,75880.54,76532.81,75852.88,76370.56,8704
2025-05-07 00:00:00,76370.56,77159.14,76236.28,76996.95,17380
2025-05-07 01:00:00,76996.95,77198.95,76591.25,77101.28,10275
2025-05-07 02:00:00,77101.28,77321.74,76739.59,76893.19,14662
2025-05-07 03:00:00,76893.19,77187.29,76728.62,76795.77,7473
2025-05-07 04:00:00,76795.77,76985.67,76392.30,76593.11,10505
2025-05-07 05:00:00,76593.11,76732.34,75495.88,75966.55,11526
2025-05-07 06:00:00,75966.55,76386.45,75964.62,76126.20,4961
2025-05-07 07:00:00,76126.20,76244.31,75568.49,75989.74,13952
2025-05-07 08:00:00,75989.74,76932.27,75875.58,76857.91,13364
2025-05-07 09:00:00,76857.91,77009.06,76641.88,76800.76,18722
2025-05-07 10:00:00,76800.76,77006.06,76352.32,76412.36,18644
2025-05-07 11:00:00,76412.36,76802.55,76321.79,76725.82,2393
2025-05-07 12:00:00,76725.82,77088.83,76467.57,76885.44,6100
2025-05-07 13:00:00,76885.44,77514.41,76781.83,77387.85,13848
2025-05-07 14:00:00,77387.85,77655.44,77150.91,77614.12,19832
2025-05-07 15:00:00,77614.12,79068.10,77577.73,78522.09,13495
2025-05-07 16:00:00,78522.09,78728.86,78239.89,78412.83,18123
2025-05-07 17:00:00,78412.83,78865.84,78392.08,78674.29,10450
2025-05-07 18:00:00,78674.29,78813.72,78480.08,78663.60,5863
2025-05-07 19:00:00,78663.60,79275.10,78552.95,78634.52,6519
2025-05-07 20:00:00,78634.52,78829.27,77973.73,78140.86,12617
2025-05-07 21:00:00,78140.86,78679.63,77915.69,78550.17,5157
2025-05-07 22:00:00,78550.17,78629.62,77818.33,78060.26,3750
2025-05-07 23:00:00,78060.26,78374.33,77955.42,78372.80,11184
2025-05-08 00:00:00,78372.80,78890.15,78049.51,78720.16,8214
2025-05-08 01:00:00,78720.16,78843.60,78496.90,78830.28,15889
2025-05-08 02:00:00,78830.28,79143.56,78382.66,78465.58,2984
2025-05-08 03:00:00,78465.58,78858.13,78322.66,78673.46,5410
2025-05-08 04:00:00,78673.46,78823.87,78125.42,78520.91,8728
2025-05-08 05:00:00,78520.91,78676.51,78421.01,78628.07,15388
2025-05-08 06:00:00,78628.07,78634.63,78495.49,78553.31,3353
2025-05-08 07:00:00,78553.31,79423.34,78511.75,79034.59,2022
2025-05-08 08:00:00,79034.59,79102.00,78448.16,78911.48,13647
2025-05-08 09:00:00,78911.48,79083.04,78511.00,78873.09,17447
2025-05-08 10:00:00,78873.09,79035.37,78836.48,78956.46,12381
2025-05-08 11:00:00,78956.46,79280.15,78443.08,78619.66,13976
2025-05-08 12:00:00,78619.66,78932.66,78232.43,78519.32,9676
2025-05-08 13:00:00,78519.32,78858.85,78279.39,78479.38,11208
2025-05-08 14:00:00,78479.38,78787.43,78295.83,78552.70,2455
2025-05-08 15:00:00,78552.70,78628.85,78103.94,78481.81,16882
2025-05-08 16:00:00,78481.81,78997.34,78322.41,78923.02,18027
2025-05-08 17:00:00,78923.02,79645.42,78580.39,79401.61,10001
2025-05-08 18:00:00,79401.61,79758.84,79398.97,79712.37,15518
2025-05-08 19:00:00,79712.37,79799.09,79319.02,79720.33,1679
2025-05-08 20:00:00,79720.33,80275.66,79203.57,79890.23,7775
2025-05-08 21:00:00,79890.23,80711.22,79560.60,80413.98,17226
2025-05-08 22:00:00,80413.98,80866.41,80213.91,80863.47,9922
2025-05-08 23:00:00,80863.47,81948.95,80749.05,81044.67,17426
2025-05-09 00:00:00,81044.67,81309.49,80716.63,80928.69,10965
2025-05-09 01:00:00,80928.69,81359.99,80621.02,81228.84,18684
2025-05-09 02:00:00,81228.84,81611.91,81081.47,81437.75,8174
2025-05-09 03:00:00,81437.75,81593.27,81374.66,81474.92,18909
2025-05-09 04:00:00,81474.92,81818.00,81242.25,81458.30,10523
2025-05-09 05:00:00,81458.30,81697.38,81122.39,81144.07,15582
2025-05-09 06:00:00,81144.07,81483.92,80663.37,80796.90,18742
2025-05-09 07:00:00,80796.90,80811.93,80157.96,80501.35,3608
2025-05-09 08:00:00,80501.35,80837.59,80128.52,80589.66,19807
2025-05-09 09:00:00,80589.66,81209.52,80490.11,80657.43,11524
2025-05-09 10:00:00,80657.43,81169.91,80334.28,80497.31,12336
2025-05-09 11:00:00,80497.31,80808.27,80219.71,80453.71,11808
2025-05-09 12:00:00,80453.71,80901.65,80124.54,80813.51,16439
2025-05-09 13:00:00,80813.51,80813.63,80451.78,80537.98,13022
2025-05-09 14:00:00,80537.98,80553.29,80349.81,80449.47,5602
2025-05-09 15:00:00,80449.47,80482.53,80041.41,80171.11,7825
2025-05-09 16:00:00,80171.11,80682.08,79961.07,80668.59,6811
2025-05-09 17:00:00,80668.59,80694.98,80260.40,80590.09,1634
2025-05-09 18:00:00,80590.09,81216.22,80223.40,80952.96,18315
2025-05-09 19:00:00,80952.96,81462.53,80663.67,81154.72,10686
2025-05-09 20:00:00,81154.72,81275.39,80737.49,81010.92,14463
2025-05-09 21:00:00,81010.92,81373.97,80892.53,81180.80,15638
2025-05-09 22:00:00,81180.80,81323.39,80847.52,81246.48,13513
2025-05-09 23:00:00,81246.48,81720.03,81126.00,81380.93,4566
2025-05-10 00:00:00,81380.93,81473.83,81167.86,81445.02,16078
2025-05-10 01:00:00,81445.02,81882.89,81179.63,81616.03,19612
2025-05-10 02:00:00,81616.03,82619.02,81427.39,81778.30,11644
2025-05-10 03:00:00,81778.30,82138.66,81469.32,81603.83,6123
2025-05-10 04:00:00,81603.83,81984.39,81436.15,81806.68,14403
2025-05-10 05:00:00,81806.68,82052.65,81433.34,81627.51,12062
2025-05-10 06:00:00,81627.51,81706.64,81058.64,81319.38,14379
2025-05-10 07:00:00,81319.38,81408.61,81160.66,81238.34,16679
2025-05-10 08:00:00,81238.34,81493.35,80876.57,81032.52,6797
2025-05-10 09:00:00,81032.52,81262.00,80856.96,80880.89,11446
2025-05-10 10:00:00,80880.89,80883.75,80212.35,80627.63,15824
2025-05-10 11:00:00,80627.63,80966.10,80356.51,80847.46,13652
2025-05-10 12:00:00,80847.46,81322.89,80580.30,81074.73,13477
2025-05-10 13:00:00,81074.73,81196.95,80832.19,80930.94,9133
2025-05-10 14:00:00,80930.94,81664.01,80791.43,81271.12,7166
2025-05-10 15:00:00,81271.12,81341.34,81088.14,81261.96,12833
2025-05-10 16:00:00,81261.96,81291.75,80597.57,81090.18,18249
2025-05-10 17:00:00,81090.18,81314.31,80452.79,80852.60,13270
2025-05-10 18:00:00,80852.60,81095.41,80489.53,80966.69,13509
2025-05-10 19:00:00,80966.69,81170.95,80479.74,80954.50,18208
2025-05-10 20:00:00,80954.50,81050.05,80867.47,81029.47,19652
2025-05-10 21:00:00,81029.47,81956.66,80963.91,81767.90,13030
2025-05-10 22:00:00,81767.90,82079.69,81555.16,82012.85,2540
2025-05-10 23:00:00,82012.85,82275.96,81919.54,82004.33,16028
2025-05-11 00:00:00,82004.33,82137.11,81533.48,81749.04,18852
2025-05-11 01:00:00,81749.04,81826.54,81381.15,81660.19,4257
2025-05-11 02:00:00,81660.19,81942.97,81423.77,81500.57,10556
2025-05-11 03:00:00,81500.57,82045.43,81231.12,81360.98,11172
2025-05-11 04:00:00,81360.98,81482.39,80782.19,80790.47,13213
2025-05-11 05:00:00,80790.47,80882.65,80662.27,80837.97,4233
2025-05-11 06:00:00,80837.97,80945.29,80571.60,80578.05,10222
2025-05-11 07:00:00,80578.05,81576.97,80400.55,81131.24,6895
2025-05-11 08:00:00,81131.24,81554.42,81077.46,81082.67,6174
2025-05-11 09:00:00,81082.67,81709.11,81008.04,81325.15,13002
2025-05-11 10:00:00,81325.15,81816.54,81277.20,81423.29,3234
2025-05-11 11:00:00,81423.29,81542.22,81093.14,81244.89,11562
2025-05-11 12:00:00,81244.89,81432.58,80834.12,81310.92,19183
2025-05-11 13:00:00,81310.92,81405.03,80864.95,81218.10,17285
2025-05-11 14:00:00,81218.10,81303.84,80829.06,81135.67,5409
2025-05-11 15:00:00,81135.67,81328.85,80815.29,81135.16,2395
2025-05-11 16:00:00,81135.16,81189.81,80624.70,80664.07,6150
2025-05-11 17:00:00,80664.07,81357.13,80291.72,81016.89,14528
2025-05-11 18:00:00,81016.89,81282.09,80785.60,81165.90,18821
2025-05-11 19:00:00,81165.90,81598.02,80772.38,81139.22,5244
2025-05-11 20:00:00,81139.22,81724.02,81018.35,81493.49,3771
2025-05-11 21:00:00,81493.49,81971.51,81182.18,81259.95,19309
2025-05-11 22:00:00,81259.95,81394.74,80254.41,80647.10,19650
2025-05-11 23:00:00,80647.10,81047.73,80476.05,80720.68,1915
2025-05-12 00:00:00,80720.68,80806.88,80460.52,80518.64,9308
2025-05-12 01:00:00,80518.64,80533.59,80391.56,80509.66,19743
2025-05-12 02:00:00,80509.66,80601.78,80366.49,80382.78,8687
2025-05-12 03:00:00,80382.78,80596.06,80083.72,80334.07,3092
2025-05-12 04:00:00,80334.07,80419.93,79656.09,80098.55,13867
2025-05-12 05:00:00,80098.55,80160.89,80062.30,80089.66,7781
2025-05-12 06:00:00,80089.66,80548.90,79990.60,80274.45,16779
2025-05-12 07:00:00,80274.45,80423.75,80062.79,80371.57,4659
2025-05-12 08:00:00,80371.57,81077.55,80255.80,80801.58,9024
2025-05-12 09:00:00,80801.58,81319.20,80775.52,80954.91,15557
2025-05-12 10:00:00,80954.91,81401.01,80743.40,81063.36,15298
2025-05-12 11:00:00,81063.36,81241.31,80964.94,81122.08,7546
2025-05-12 12:00:00,81122.08,81305.15,81088.55,81263.79,18772
2025-05-12 13:00:00,81263.79,81581.34,81000.23,81231.27,5602
2025-05-12 14:00:00,81231.27,81343.09,80607.82,80918.32,7284
2025-05-12 15:00:00,80918.32,81002.30,80348.04,80660.91,17380
2025-05-12 16:00:00,80660.91,81147.07,80165.81,80223.31,11465
2025-05-12 17:00:00,80223.31,80237.81,80083.75,80167.96,7867
2025-05-12 18:00:00,80167.96,80209.18,79870.55,80197.12,12151
2025-05-12 19:00:00,80197.12,80453.47,79975.87,80313.23,17684
2025-05-12 20:00:00,80313.23,81121.77,80261.35,80591.35,13959
2025-05-12 21:00:00,80591.35,80741.51,80286.28,80482.38,19149
2025-05-12 22:00:00,80482.38,80614.68,79689.87,79964.19,11016
2025-05-12 23:00:00,79964.19,80120.51,79558.64,79800.73,5879
2025-05-13 00:00:00,79800.73,80228.20,79752.28,79796.64,15216
2025-05-13 01:00:00,79796.64,80306.98,79134.47,79296.98,5200
2025-05-13 02:00:00,79296.98,79436.09,78806.31,79037.19,16398
2025-05-13 03:00:00,79037.19,79047.79,78811.02,78825.36,7959
2025-05-13 04:00:00,78825.36,79800.34,78459.50,79739.05,3296
2025-05-13 05:00:00,79739.05,80404.49,79721.32,80327.82,18281
